# Based on the WLTP drive cycle,
# time [s],current [A]
0.0,-0.0000279
0.1,-0.0000279
0.2,-0.0000279
0.3,-0.0000279
0.4,-0.0000279
0.5,-0.0000279
0.6,-0.0000279
0.7,-0.0000279
0.8,-0.0000279
0.9,-0.0000279
1.0,-0.0000279
1.1,-0.0174454
1.2,-0.0174454
1.3,-0.0174454
1.4,-0.0174454
1.5,-0.0174454
1.6,-0.0174454
1.7,-0.0174454
1.8,-0.0174454
1.9,-0.0174454
2.0,-0.0174454
2.1,-0.0174454
2.2,-0.0174454
2.3,-0.0174454
2.4,-0.0174454
2.5,-0.0174454
2.6,-0.0174454
2.7,-0.0174454
2.8,-0.0174454
2.9,-0.0174454
3.0,-0.0174454
3.1,-0.0174454
3.2,-0.0174454
3.3,-0.0174454
3.4,-0.0174454
3.5,-0.0174454
3.6,-0.0174454
3.7,-0.0174454
3.8,-0.0174454
3.9,-0.0174454
4.0,-0.0174454
4.1,-0.0174454
4.2,-0.0174454
4.3,-0.0174454
4.4,-0.0174454
4.5,-0.0174454
4.6,-0.0174454
4.7,-0.0174454
4.8,-0.0174454
4.9,-0.0174454
5.0,-0.0174454
5.1,-0.0174454
5.2,-0.0174454
5.3,-0.0174454
5.4,-0.0174454
5.5,-0.0174454
5.6,-0.0174454
5.7,-0.0174454
5.8,-0.0174454
5.9,-0.0174454
6.0,-0.0174454
6.1,-0.0174454
6.2,-0.0174454
6.3,-0.0174454
6.4,-0.0174454
6.5,-0.0174454
6.6,-0.0174454
6.7,-0.0174454
6.8,-0.0174454
6.9,-0.0174454
7.0,-0.0174454
7.1,-0.0174454
7.2,-0.0174454
7.3,-0.0174454
7.4,-0.0174454
7.5,-0.0174454
7.6,-0.0174454
7.7,-0.0174454
7.8,-0.0174454
7.9,-0.0174454
8.0,-0.0174454
8.1,-0.0174454
8.2,-0.0174454
8.3,-0.0174454
8.4,-0.0174454
8.5,-0.0174454
8.6,-0.0174454
8.7,-0.0174454
8.8,-0.0174454
8.9,-0.0174454
9.0,-0.0174454
9.1,-0.0174454
9.2,-0.0174454
9.3,-0.0174454
9.4,-0.0174454
9.5,-0.0174454
9.6,-0.0174454
9.7,-0.0174454
9.8,-0.0174454
9.9,-0.0174454
10.0,-0.0174454
10.1,-0.0174454
10.2,-0.0174454
10.3,-0.0174454
10.4,-0.0255314
10.5,-0.0351551
10.6,-0.0259969
10.7,-0.0263670
10.8,-0.0267370
10.9,-0.0249197
11.0,-0.0246208
11.1,-0.0260165
11.2,-0.0263645
11.3,-0.0267125
11.4,-0.0537141
11.5,-0.0638597
11.6,-0.0427341
11.7,-0.0445429
11.8,-0.0463516
11.9,-0.0174455
12.0,-0.0174455
12.1,-0.1120439
12.2,-0.1372362
12.3,-0.1624500
12.4,-0.2512984
12.5,-0.2947638
12.6,-0.0669602
12.7,-0.0673712
12.8,-0.0676665
12.9,-0.0174455
13.0,-0.0174455
13.1,-0.3076320
13.2,-0.3488270
13.3,-0.3900790
